filename,format,generation,serial_hex,valid
Kingston KHX3000C15D4-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (2).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (2).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (3).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (4).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (6).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH40,?,,no
Kingston KHX3200C18D4-8G.thp,TH40,?,,no
Kingston KHX3600C17D4-8GX (1).thp,TH40,?,,no
Kingston KHX3733C19D4-16GX (1).thp,TH40,?,,no
Kingston KHX3733C19D4-16GX.thp,TH40,?,,no
Kingston KHX3733C19D4-8GX.thp,TH40,?,,no
Patriot Memory 3200 C16 Series.thp,TH40,?,,no
Patriot Memory 3600 C17 Series.thp,TH40,?,,no
Patriot Memory 4000 C19 Series.thp,TH40,?,,no
Patriot Memory PSD416G24002.thp,TH40,?,,no
Patriot Memory PSD44G240081.thp,TH40,?,,no
Patriot Memory PSD48G213381.thp,TH40,?,,no
Samsung M378A1G43TB1-CTD.thp,TH40,?,,no
Samsung M378A1K43CB2-CTD (1).thp,TH40,?,,no
Samsung M378A1K43CB2-CTD.thp,TH40,?,,no
Samsung M378A1K43DB2-CVF.thp,TH40,?,,no
Samsung M378A1K43EB2-CVF.thp,TH40,?,,no
Team Group TEAMGROUP-UD4-3000 (1).thp,TH40,?,,no
Team Group TEAMGROUP-UD4-3200.thp,TH40,?,,no
Unknown (JEDEC ID 00FFh) Undefined (1).thp,TH20,?,,no
Unknown (JEDEC ID 00FFh) Undefined.thp,TH20,?,,no
Unknown (JEDEC ID 150Dh) atermiter.thp,TH40,?,,no
Wilk Elektronik GR2666D464L19S-8G.thp,TH40,?,,no
Wilk Elektronik IRP3600D4V64L17-16G.thp,TH40,?,,no
A-DATA DDR4 300.thp,TH40,?,,no
A-DATA DDR4 3000 (1).thp,TH40,?,,no
A-DATA DDR4 3000 (2).thp,TH40,?,,no
A-DATA DDR4 3000 2OZ.thp,TH40,?,,no
A-DATA DDR4 3000.thp,TH40,?,,no
A-DATA DDR4 3200 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (2).thp,TH40,?,,no
A-DATA Undefined (1).thp,TH40,?,,no
AMD R748G2606U2S.thp,TH40,?,,no
AMD R7S48G2400U2S.thp,TH40,?,,no
AMD R9S48G3206U2S.thp,TH40,?,,no
Corsair CMK16GX4M2B3000C15 (1).thp,TH40,?,,no
Corsair CMK8GX4M1D3000C16.thp,TH40,?,,no
Corsair CMWX16GC3200C16W4.thp,TH40,?,,no
Crucial 6G32C16U4BL.M16FE.thp,TH40,?,,no
Crucial BL16G30C15U4W.M16FE1.thp,TH40,?,,no
Crucial BL16G32C16U4BL.M16FE (1).thp,TH40,?,,no
Crucial BL16G32C16U4BL.M16FE.thp,TH40,?,,no
Crucial BL16G32C16U4RL.M16FE.thp,TH40,?,,no
Crucial BL16G36C16U4RL.M8FB1 (1).thp,TH40,?,,no
Crucial BL8G30C15U4WL.M8FE1 (1).thp,TH40,?,,no
Crucial BL8G30C15U4WL.M8FE1 (2).thp,TH40,?,,no
Crucial BL8G30C15U4WL.M8FE1.thp,TH40,?,,no
Crucial BL8G32C16U4B.M8FE.thp,TH40,?,,no
Crucial BLS8G4D240FSB.16FBD.thp,TH40,?,,no
Crucial BLS8G4D30AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D30AESEK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D32AESBK.M8FE1.thp,TH40,?,,no
Crucial CT12864AA800.M8FH.thp,TH20,?,,no
Crucial CT4G4DFS8266.C8FE.thp,TH40,?,,no
Crucial CT4G4DFS8266.M8FF.thp,TH40,?,,no
Crucial CT8G4DFRA266.C8FP.thp,TH40,?,,no
G.Skill F4-2133C15-16GIS.thp,TH40,?,,no
G.Skill F4-3000C16-8GTZR.thp,TH40,?,,no
G.Skill F4-3200C16-16GVK (1).thp,TH40,?,,no
G.Skill F4-3200C16-8GRKB.thp,TH40,?,,no
G.Skill F4-3600C14-16GVK.thp,TH40,?,,no
G.Skill F4-3600C14-8GTZNB.thp,TH40,?,,no
G.Skill F4-3600C16-16GTZNC (1).thp,TH40,?,,no
G.Skill F4-3600C17-16GTZR.thp,TH40,?,,no
G.Skill F4-3600C17-8GTZKW.thp,TH40,?,,no
G.Skill F4-3600C18-8GVK.thp,TH40,?,,no
G.Skill F4-3600C19-8GSXWB.thp,TH40,?,,no
G.Skill F4-4000C16-16GTZR.thp,TH40,?,,no
Galaxy Microsystems Undefined.thp,TH40,?,,no
Hynix HYMP112U64CP8-S6.thp,TH20,?,,no
Kingston 9905429-008.A01L.thp,TH20,?,,no
Kingston 9905713-019.A00G.thp,TH40,?,,no
Kingston KHX2133C14-8G.thp,TH40,?,,no
Kingston KHX2400C15D4-4G.thp,TH40,?,,no
Kingston KHX2666C16-8G.thp,TH40,?,,no
Kingston KHX3000C15-16GX.thp,TH40,?,,no
Kingston KHX3000C15D4-4GX.thp,TH40,?,,no
Kingston KHX3000C15D4-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (1).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (4).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (6).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (7).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH40,?,,no
Kingston KHX3200C18D4-8G.thp,TH40,?,,no
Kingston KHX3333C16D4-8GX (1).thp,TH40,?,,no
Kingston KHX3466C16D4-16GX.thp,TH40,?,,no
Kingston KHX3466C16D4-8GX (1).thp,TH40,?,,no
Kingston KHX3600C17D4-16GX.thp,TH40,?,,no
Kingston KHX3600C17D4-8GX (2).thp,TH40,?,,no
Kingston KHX3600C17D4-8GX.thp,TH40,?,,no
Kingston KHX3733C19D4-16GX (1).thp,TH40,?,,no
