filename,format,generation,serial_hex,valid
Kingston KHX2933C15D4-8GX.thp,TH41,DDR4,0x7421B35C,yes
Kingston KHX3000C15-16GX.thp,TH41,DDR4,0xCACC0FA5,yes
Kingston KHX3000C15D4-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (1).thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (2).thp,TH41,DDR4,0x5D8F5A25,yes
Kingston KHX3200C16D4-16GX.thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (1).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (2).thp,TH41,DDR4,0x65456CE1,yes
Kingston KHX3200C16D4-8GX (3).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH41,DDR4,0x0158B472,yes
Kingston KHX3466C16D4-8GX.thp,TH40,?,,no
Kingston KHX3600C17D4-8GX (1).thp,TH40,?,,no
Kingston KHX3600C17D4-8GX.thp,TH40,?,,no
Kingston KHX4000C19D4-8GX.thp,TH40,?,,no
Kingston LV32D4S2S8HD-8.thp,TH41,DDR4,0x28E5BFEB,yes
Kllisre 4ATF1G64AZ-2G6H1.thp,TH40,?,,no
Kllisre D4 8G (1).thp,TH40,?,,no
Kllisre D4 8G.thp,TH40,?,,no
Micron 18ASF4G72AZ-3G2B1.thp,TH41,DDR4,0x53E885D7,yes
Micron 8ATF1G64AZ-2G6E1.thp,TH40,?,,no
Micron 9ASF2G72AZ-3G2B1.thp,TH40,?,,no
Mushkin Enhanced MFG MR[ABC]4U400JNNM8G.thp,TH41,DDR4,0x74770A76,yes
Nanya NT2GC64B88G0NS-CG.thp,TH20,DDR3,0xE8100522,yes
Neo Forza NMUD480E82-3600D.thp,TH40,?,,no
Patriot Memory 3000 C16 Series.thp,TH40,?,,no
Patriot Memory 3200 C16 Series (1).thp,TH40,?,,no
Patriot Memory 3200 C16 Series (2).thp,TH40,?,,no
Patriot Memory 3200 C16 Series (3).thp,TH40,?,,no
Patriot Memory 3200 C16 Series.thp,TH41,DDR4,0x64640835,yes
Patriot Memory 3600 C17 Series (1).thp,TH40,?,,no
Patriot Memory 3600 C17 Series.thp,TH40,?,,no
Patriot Memory 3600 C18 Series (1).thp,TH41,DDR4,0x6471094F,yes
Patriot Memory 3600 C18 Series (2).thp,TH41,DDR4,0x66460045,yes
Patriot Memory 3600 C18 Series.thp,TH41,DDR4,0x667F0A70,yes
Patriot Memory 3733 C17 Series.thp,TH41,DDR4,0x645F0BD7,yes
Patriot Memory 4133 C18 Series.thp,TH41,DDR4,0x74771041,yes
Patriot Memory 4400 C19 Series.thp,TH41,DDR4,0x64650F3C,yes
Patriot Memory PSD34G16002.thp,TH20,DDR3,0x00000000,yes
Patriot Memory PSD48G320081.thp,TH41,DDR4,0x65750DFF,yes
Samsung M378A1K43BB1-CPB.thp,TH41,DDR4,0xED43DC7E,yes
Samsung M378A1K43CB2-CTD.thp,TH40,?,,no
Samsung M378A1K43EB2-CVF.thp,TH41,DDR4,0x4D13FB62,yes
Samsung M378A2K43CB1-CTD.thp,TH40,?,,no
Samsung M378A5244CB0-CRC.thp,TH40,?,,no
Samsung M378B5273CH0-CH9.thp,TH20,DDR3,0x63004DE9,yes
Samsung M393B5170GB0-CMA.thp,TH20,DDR3,0x18CB3209,yes
Samsung M471B1G73DB0-YK0.thp,TH20,DDR3,0x3858FE99,yes
Samsung M471B2873FHS-CH9.thp,TH20,DDR3,0x6706FECC,yes
Samsung M471B5273DH0-CK0.thp,TH20,DDR3,0xE3B75258,yes
Samsung M471B5773DH0-CH9.thp,TH20,DDR3,0x9758F018,yes
Team Group TEAMGROUP-UD4-3200.thp,TH41,DDR4,0x7573D219,yes
Team Group TEAMGROUP-UD4-3600.thp,TH41,DDR4,0x757397A5,yes
Team Group TEAMGROUP-UD4-4000 (1).thp,TH41,DDR4,0x75738D83,yes
Team Group TEAMGROUP-UD4-4000.thp,TH41,DDR4,0x7573FA5B,yes
Team Group TEAMGROUP-UD4-4500.thp,TH41,DDR4,0x7573C6A9,yes
Undefined MESSBON-8G-2400Mhz.thp,TH40,?,,no
Unknown (JEDEC ID 0080h) atermiter.thp,TH40,?,,no
Unknown (JEDEC ID 7FFFh) Undefined.thp,TH41,DDR4,0x8B88F589,yes
Wilk Elektronik IR2400D464L15S-8G.thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (1).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (2).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G (3).thp,TH40,?,,no
Wilk Elektronik IRX2666D464L16S-8G.thp,TH40,?,,no
A-DATA D R  3600 2OZ.thp,TH41,DDR3,0x07FF96FB,yes
A-DATA DDR4 3000.thp,TH40,?,,no
A-DATA DDR4 3200 (1).thp,TH40,?,,no
A-DATA DDR4 3200 (2).thp,TH40,?,,no
A-DATA DDR4 3200.thp,TH40,?,,no
A-DATA DDR4 3600 2 Z.thp,TH41,DDR3,0xF8008E04,yes
A-DATA Undefined.thp,TH41,DDR4,0x884C0A76,yes
AMD R744G2606U1S.thp,TH40,?,,no
AMD R7S48G2606U1K.thp,TH40,?,,no
AMD R948G3206U2S.thp,TH40,?,,no
Apacer D12.2324WC.002.thp,TH40,?,,no
Apacer GD2.1542WS.001.thp,TH40,?,,no
Corsair CM2X1024-9136C5D.thp,TH20,?,,no
Corsair CM3X2G1333C9.thp,TH20,DDR3,0x00000000,yes
Corsair CMD32GX4M4C3200C14C (2).thp,TH41,DDR4,0x74770A76,yes
Corsair CMD32GX4M4C3200C14C.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M2K3600C19.thp,TH40,?,,no
Corsair CMK16GX4M2K4266C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M2Z3600C14.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK16GX4M4B3333C16.thp,TH41,DDR3,0x070071C6,yes
Corsair CMK32GX4M2E3200C16.thp,TH40,?,,no
Corsair CMK32GX4M2Z3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK32GX4M4D3000C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMK8GX4M1D3000C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW16GX4M1Z3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW16GX4M2C3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW16GX4M2D3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW16GX4M2Z3600C18.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW32GX4M2Z3200C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMW32GX4M4A2666C16.thp,TH41,DDR4,0x74770A76,yes
Corsair CMWX16GC3200C16W4.thp,TH40,?,,no
Crucial BL16G30C15U4B.M16FE1.thp,TH40,?,,no
Crucial BL32G32C16U4BL.M16FB.thp,TH40,?,,no
Crucial BL32G36C16U4B.M16FB1.thp,TH41,DDR4,0x97D54D57,yes
Crucial BL8G30C15U4BL.M8FE1.thp,TH40,?,,no
Crucial BL8G30C15U4W.M8FE1.thp,TH41,DDR4,0x9014C210,yes
Crucial BL8G32C16U4B.M8FE.thp,TH41,DDR4,0x917DEBA0,yes
Crucial BL8G32C16U4W.M8FE1.thp,TH41,DDR4,0x90189B36,yes
Crucial BL8G36C16U4W.M8FE1.thp,TH40,?,,no
Crucial BLE8G4D40BEEAK.M8FE1.thp,TH41,DDR4,0x96009808,yes
Crucial BLS16G4D32AESB.M16FE.thp,TH41,DDR4,0x977A15E1,yes
Crucial BLS4G4D240FSB.8FBD.thp,TH40,?,,no
Crucial BLS8G4D240FSA.16FADG.thp,TH41,DDR4,0xD7684414,yes
Crucial BLS8G4D30AESEK.M8FE1.thp,TH40,?,,no
Crucial BLS8G4D32AESBK.M8FE.thp,TH40,?,,no
Crucial BLS8G4D32AESBK.M8FE1.thp,TH40,?,,no
Crucial BLT8G4D26BFT4K.C8FD.thp,TH40,?,,no
Crucial BLT8G4D32AET4K.M8FE1.thp,TH41,DDR4,0x97446737,yes
Crucial CT4G4DFS824A.C8FF.thp,TH40,?,,no
Crucial CT4G4DFS824A.M8FE.thp,TH40,?,,no
Crucial CT51264BD160B.C16F.thp,TH20,DDR3,0xE0828965,yes
Crucial CT8G4DFS824A.C8FBD1.thp,TH40,?,,no
Crucial CT8G4DFS824A.M8FE.thp,TH40,?,,no
Crucial CT8G4DFS8266.C8FN.thp,TH41,DDR4,0x9725432B,yes
Crucial CT8G4SFRA32A.C8FE.thp,TH41,DDR4,0x91728F01,yes
Fujitsu F4-3600C16-16GTRSC.thp,TH20,?,,no
G.Skill F3-12800CL9-4GBXL.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-17000CL11-4GBXL.thp,TH20,DDR3,0x00000000,yes
G.Skill F3-2400C10-4GTX.thp,TH20,DDR3,0x00000000,yes
G.Skill F4-2400C15-8GNS.thp,TH40,?,,no
G.Skill F4-2400C15-8GNT.thp,TH40,?,,no
G.Skill F4-2400C17-8GNT.thp,TH40,?,,no
G.Skill F4-2666C15-8GVR.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-2933C16-8GTZRX.thp,TH41,DDR3,0x070096C6,yes
G.Skill F4-3000C14-16GVR.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3000C16-16GISB.thp,TH40,?,,no
G.Skill F4-3000C16-8GTZR.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C14-16GTZN.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3200C16-16GTZR.thp,TH40,?,,no
G.Skill F4-3200C16-8GTZRX.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C16 16GT SC.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16 16GTRSC.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16-16GTRSC.thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16-16GTZN (1).thp,TH41,DDR3,0x070071C6,yes
G.Skill F4-3600C16-16GTZNC (2).thp,TH40,?,,no
G.Skill F4-3600C16-8GTZKW.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C17-8GTZ.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3600C18-32GVK.thp,TH41,DDR3,0x07009604,yes
G.Skill F4-3800C14-16GTZN.thp,TH40,?,,no
G.Skill F4-4000C17-16GTZRB.thp,TH41,DDR4,0x74770A76,yes
Gloway Gloway.thp,TH20,DDR3,0x00000000,yes
Hynix HMA81GU6AFR8N-UH.thp,TH40,?,,no
Hynix HMA851U6CJR6N-UH.thp,TH40,?,,no
Hynix HMP125U6NFR8C-S6.thp,TH20,?,,no
Kingmax GLAG42F-18----------.thp,TH40,?,,no
Kingston 9905678-024.A00G (1).thp,TH40,?,,no
Kingston 9905678-024.A00G.thp,TH40,?,,no
Kingston 9905678-042.A00G.thp,TH40,?,,no
Kingston 9905702-027.A00G.thp,TH40,?,,no
Kingston 99P5474-013.A00LF.thp,TH20,DDR3,0x130229B9,yes
Kingston 99U5316-058.A00L.thp,TH20,?,,no
Kingston 99U5704-001.A00G.thp,TH41,DDR4,0x3A52AD23,yes
Kingston HP32D4U8D8HC-16XR.thp,TH41,DDR4,0x1283E0DA,yes
Kingston KHX1600C10D3-8G.thp,TH20,DDR3,0x5023357F,yes
Kingston KHX2400C15-8G (1).thp,TH40,?,,no
Kingston KHX2400C15-8G (2).thp,TH40,?,,no
Kingston KHX2400C15-8G (3).thp,TH40,?,,no
Kingston KHX2400C15-8G.thp,TH40,?,,no
Kingston KHX2666C15D4-8G.thp,TH40,?,,no
Kingston KHX2666C16-8G (1).thp,TH40,?,,no
Kingston KHX2666C16-8G (2).thp,TH41,DDR4,0xD071576A,yes
Kingston KHX2666C16-8G (3).thp,TH40,?,,no
Kingston KHX2666C16-8G.thp,TH40,?,,no
Kingston KHX2933C15D4-8GX.thp,TH40,?,,no
Kingston KHX3000C15-16GX (1).thp,TH41,DDR4,0x7F55DB51,yes
Kingston KHX3000C15-16GX (2).thp,TH40,?,,no
Kingston KHX3000C15-16GX.thp,TH41,DDR4,0x35BD06D3,yes
Kingston KHX3000C15D4-8GX (1).thp,TH40,?,,no
Kingston KHX3000C15D4-8GX.thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (1) (1).thp,TH41,DDR4,0x25BD5084,yes
Kingston KHX3200C16D4-16GX (1).thp,TH41,DDR4,0x674F0254,yes
Kingston KHX3200C16D4-16GX (2).thp,TH40,?,,no
Kingston KHX3200C16D4-16GX (3).thp,TH41,DDR4,0x3A804CB3,yes
Kingston KHX3200C16D4-16GX.thp,TH41,DDR4,0x2607DF2F,yes
Kingston KHX3200C16D4-8GX (1).thp,TH41,DDR4,0xA3C74E85,yes
Kingston KHX3200C16D4-8GX (2).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (3).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (4).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX (5).thp,TH41,DDR4,0x5607A466,yes
Kingston KHX3200C16D4-8GX (6).thp,TH40,?,,no
Kingston KHX3200C16D4-8GX.thp,TH40,?,,no
Kingston KHX3200C18D4-8G.thp,TH40,?,,no
Kingston KHX3600C17D4-8GX (1).thp,TH40,?,,no
Kingston KHX3600C17D4-8GX.thp,TH41,DDR4,0x35961CD8,yes
Kingston KHX3600C18D4-16GX.thp,TH41,DDR4,0x4CBD7A2F,yes
Kingston KHX3733C19D4-16GX (1).thp,TH40,?,,no
Kingston KHX3733C19D4-16GX.thp,TH40,?,,no
Kingston KHX3733C19D4-8GX.thp,TH40,?,,no
Kingston KVR648-PSB.thp,TH20,DDR3,0xDD2EA7E9,yes
Kllisre KHX1866C10D3-8G.thp,TH20,DDR3,0x522C5B37,yes
Kllisre KRE-D3U1333M-8G.thp,TH20,DDR3,0x03985621,yes
Micron 16KTF1G64HZ-1G6E1.thp,TH20,DDR3,0x12950CEC,yes
Micron AFLD38BK1P.thp,TH20,DDR3,0x00000000,yes
