filename,format,generation,serial_hex,valid
Crucial CT8G4SFS832A.C8FR.thp,TH43,DDR4,0xE7F26338,yes
Crucial CT8G4SFS832A.M8FR.thp,TH43,DDR4,0xE7F44647,yes
Cuso VCM4UX32C18AG-DYXXD.thp,TH43,DDR4,0x000003A8,yes
EXCELERAM EKPRO4324018CD.thp,TH43,DDR4,0xEBDA9361,yes
Essencore KD48GU880-32A160U.thp,TH43,DDR4,0x26812225,yes
Essencore KD48GU880-36A180B.thp,TH43,DDR4,0x7B711C22,yes
Essencore KD48GU880-36A180U.thp,TH43,DDR4,0x441B0312,yes
Essencore KD48GU88C-26N1900.thp,TH43,DDR4,0x040C112A,yes
Essencore KD48GU88C-26N190A.thp,TH43,DDR4,0x58403737,yes
Essencore KD4AGSA80-32N220A.thp,TH43,DDR4,0x30480E1B,yes
Essencore KD4AGU880-32A160X.thp,TH43,DDR4,0x4AAC3437,yes
G.Skill F4-2400C15-16GIS.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-2400C15-4GIS.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-2400C15-8GNS.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-2400C17-4GNT.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-2666C18-8GTZN.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-2666C19-8GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-2800C18-16GRS.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3000C14-8GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3000C15-8GTZ.thp,TH41,DDR4,0x74770A76,yes
G.Skill F4-3200C14-16GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-16GTZR.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-16GVK (3).thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-16GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-32GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-8GFX.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-8GTZ.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-8GTZKW.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-8GTZRX.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C14-8GVK.thp,TH43,DDR4,0x00000000,yes
G.Skill F4-3200C16-16GFX (1).thp,TH43,DDR4,0x00000000,yes
